SHOP_SEQ,PARK_NUM,Valid,Online
2,6,0,0
12,0,1,1
17,3,1,1
20,6,1,1
21,5,1,1
31,5,1,1
32,3,1,1
45,3,1,1
46,2,1,1
51,3,1,1
62,4,1,0
65,5,1,1
68,0,1,1
70,3,1,0
75,2,1,1
76,2,1,1
92,5,1,1
95,5,1,1
100,2,1,1
104,3,1,0
105,3,1,1
110,6,1,0
111,2,1,1
113,3,1,1
115,2,1,0
116,2,1,1
129,2,1,1
133,2,1,1
139,2,1,1
140,2,1,1
142,4,1,1
149,2,1,0
156,2,1,0
159,5,1,1
160,3,1,1
161,2,1,1
162,4,1,0
167,3,1,1
168,6,1,0
170,6,1,1
173,2,1,0
178,4,1,0
179,2,1,1
181,10,1,1
183,6,1,1
186,4,1,1
193,4,1,1
202,3,1,1
204,12,1,0
207,4,1,1
209,10,1,1
210,4,1,0
213,2,1,1
214,3,1,0
216,6,1,0
253,4,1,1
254,3,1,0
255,6,1,1
256,3,1,0
257,2,1,1
283,12,1,1
290,1,1,0
291,1,1,1
293,6,1,1
296,3,1,1
305,5,1,1
306,3,1,1
308,4,1,1
309,4,1,1
318,4,1,1
321,6,1,1
322,3,1,0
329,2,1,0
334,5,1,1
335,6,1,1
336,6,1,1
337,4,0,0
345,2,1,0
354,2,1,0
358,3,1,1
364,5,1,1
368,3,1,1
372,5,1,0
375,4,1,1
392,3,1,1
393,3,1,1
397,3,1,0
398,3,1,1
402,3,1,1
414,3,1,1
415,6,1,0
416,4,1,0
417,2,1,0
418,2,1,0
422,4,1,0
433,5,1,1
436,4,1,0
438,3,1,0
444,3,1,1
456,5,1,1
457,10,1,1
458,5,1,1
459,5,1,0
474,3,1,0
476,6,1,1
479,2,1,1
484,12,1,1
485,2,1,0
496,42,1,0
497,1,1,1
499,4,0,0
500,2,0,0
502,4,1,1
503,3,1,1
506,2,0,0
510,12,1,1
511,7,1,1
513,8,1,1
514,6,1,1
517,15,1,1
521,3,1,1
522,2,1,1
528,8,1,1
529,4,1,1
536,3,1,1
542,12,1,1
543,6,1,1
549,3,1,1
550,5,1,0
552,4,1,1
